Date,Close,OBV,EMA(20),BB_up,BB_low,Signal,Ret(+3d)
2024-06-03,194.03,727258609.0,367398724.15,767797605.6715608,-33000157.371560812,Squeeze,0.2%
2024-06-10,193.12,743547721.0,535331448.1174532,919316312.6998905,151346583.53501594,Squeeze,10.9%
2024-06-11,207.15,915664017.0,571553597.5348387,953427338.8573108,189679856.21236664,Squeeze,2.6%
2024-06-12,213.07,1113773310.0,623193570.1505684,1039826360.1506543,206560780.15048236,Overbought,1.7%
2024-06-13,214.24,1211523539.0,679224995.7552761,1144553106.9327607,213896884.5777915,Overbought,0.0%
2024-06-24,208.14,903365257.0,839055582.2485158,1304842504.2453594,373268660.25167215,Squeeze,2.9%
2024-06-25,209.07,959646125.0,850540395.8438953,1279170830.7418308,421909960.94595987,Squeeze,0.7%
2024-06-26,213.25,1025859311.0,867237435.3825719,1262948411.2271214,471526459.5380225,Squeeze,1.6%
2024-06-27,214.1,1075632018.0,887084538.4889936,1254357107.8832133,519811969.09477407,Squeeze,2.9%
2024-06-28,210.62,993093300.0,897180611.0138514,1232674106.6167438,561687115.410959,Squeeze,5.2%
2024-07-01,216.75,1053496229.0,912067812.726818,1225724068.7189546,598411556.7346812,Squeeze,4.4%
2024-07-02,220.27,1111542407.0,931065393.1337876,1229882583.350023,632248202.9175522,Squeeze,3.4%
2024-07-03,221.55,1148812208.0,951803185.0258079,1241540272.8580713,662066097.1935444,Squeeze,3.2%
2024-07-08,227.82,1267415177.0,1003965762.4406273,1290899135.5937264,717032389.2875283,Squeeze,-0.1%
2024-07-10,232.98,1378056246.0,1066431491.6441417,1346074274.437275,786788708.8510084,Overbought & Squeeze,0.6%
2024-07-11,227.57,1313599379.0,1089971290.4399376,1369452405.4469829,810490175.4328923,Squeeze,3.2%
2024-07-23,225.01,1387982745.0,1255994229.5688818,1574155135.1480527,937833323.9897108,Squeeze,-3.1%
2024-07-24,218.54,1326205169.0,1262680985.7051787,1552701760.4561043,972660210.9542533,Squeeze,-0.1%
2024-07-25,217.49,1274813970.0,1263836508.0189712,1531594292.5773463,996078723.4605961,Squeeze,0.6%
2024-07-26,217.96,1316413315.0,1268843822.9695454,1519652599.2064023,1018035046.7326885,Squeeze,1.9%
2024-07-29,218.24,1352697843.0,1276829920.115303,1487288503.3136513,1066371336.9169546,Squeeze,0.1%
2024-07-30,218.8,1394191683.0,1288007230.8662267,1464689256.242227,1111325205.4902263,Squeeze,0.5%
2024-07-31,222.08,1444227945.0,1302885394.1170623,1455852522.4366608,1149918265.797464,Squeeze,-5.8%
